supply_schedule,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
01:00 to 02:00,2.0,2.0,2.0,2.0,2.0,2.0,1.0
02:00 to 03:00,1.0,1.0,1.0,1.0,1.0,1.0,0.0
03:00 to 04:00,2.0,3.0,3.0,3.0,2.0,3.0,0.0
04:00 to 05:00,3.0,3.0,3.0,3.0,3.0,4.0,0.0
05:00 to 06:00,5.0,4.0,4.0,4.0,4.0,2.0,2.0
06:00 to 07:00,16.0,15.0,15.0,15.0,13.0,8.0,2.0
07:00 to 08:00,48.0,48.0,47.0,46.0,45.0,27.0,3.0
08:00 to 09:00,257.0,249.0,246.0,247.0,238.0,138.0,5.0
09:00 to 10:00,257.0,263.0,263.0,252.0,248.0,158.0,6.0
10:00 to 11:00,255.0,259.0,252.0,254.0,245.0,162.0,6.0
11:00 to 12:00,222.0,227.0,223.0,222.0,217.0,145.0,4.0
12:00 to 13:00,191.0,195.0,192.0,191.0,183.0,131.0,4.0
13:00 to 14:00,153.0,154.0,153.0,154.0,156.0,112.0,4.0
14:00 to 15:00,144.0,148.0,143.0,145.0,145.0,107.0,4.0
15:00 to 16:00,143.0,144.0,141.0,141.0,142.0,105.0,4.0
16:00 to 17:00,128.0,128.0,129.0,127.0,129.0,99.0,3.0
17:00 to 18:00,90.0,92.0,94.0,89.0,95.0,69.0,2.0
18:00 to 19:00,52.0,48.0,51.0,47.0,49.0,33.0,1.0
19:00 to 20:00,15.0,13.0,13.0,14.0,14.0,10.0,1.0
20:00 to 21:00,1.0,1.0,2.0,1.0,1.0,0.0,0.0
22:00 to 23:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0
